Symbol,Weight
AAPL,3225846022144
MSFT,2864015212544
NVDA,2834218614784
AMZN,2039103356928
GOOGL,1980589801472
GOOG,1980458991616
META,1471955075072
AVGO,886035447808
TSLA,745943138304
LLY,744843378688
WMT,689328816128
JPM,659658309632
V,649005826048
XOM,496961716224
MA,484563681280
UNH,461284704256
ORCL,421601935360
COST,400329670656
NFLX,397861060608
JNJ,395480498176
PG,393876176896
ABBV,375278108672
HD,348809494528
BAC,315212070912
TMUS,297691578368
KO,296386887680
CVX,285164404736
CRM,267907579904
CSCO,241561763840
MRK,240984227840
PM,237909131264
WFC,233954721792
IBM,229591023616
ABT,219460861952
MCD,218932281344
LIN,217773604864
GE,215513153536
PEP,203763777536
ACN,203484282880
PLTR,197749030912
TMO,196077486080
T,190650302464
MS,188704620544
VZ,186447626240
AXP,184452726784
DIS,180489748480
RTX,179232374784
BX,177796399104
ISRG,173568114688
QCOM,172657655808
NOW,172367101952
ADBE,170638360576
AMGN,170449780736
GS,169467592704
INTU,168953282560
AMD,166228836352
TXN,163121004544
CAT,161650950144
PGR,157396844544
SPGI,151376035840
DHR,150903865344
PFE,149613428736
BLK,148927217664
UBER,148445052928
BKNG,147635585024
BSX,146323587072
NEE,145460199424
SYK,143916335104
UNP,143496773632
SCHW,140696764416
HON,137860808704
CMCSA,136422981632
GILD,134005891072
C,131988979712
VRTX,130996281344
DE,130955902976
TJX,130121523200
COP,128663068672
BA,128168763392
LOW,125510000640
AMAT,124571582464
BMY,122651492352
FI,122037698560
PANW,121635577856
ADP,120976990208
CB,118387998720
MDT,118154002432
ETN,114090967040
MMC,113662443520
MU,112737288192
SBUX,112275316736
LMT,111602384896
NKE,108220547072
INTC,106777796608
KKR,105496666112
ANET,105132392448
PLD,104392245248
ADI,104264073216
UPS,100394409984
AMT,100344315904
